regime,policy,ICAR_mean,ICAR_sd,false_block_mean,act_rate_mean,mean_cost
harsh,B1_AlwaysAct,0.8,0.0,0.0,1.0,0.0
harsh,B2_Confidence,0.288,0.0,0.64,0.36,0.0
harsh,B3_DocAgreement,0.65,0.0,0.125,0.85,0.0
harsh,B4_AlwaysVerify,0.24713333333333332,0.012829742742961567,0.6127777777777778,0.3559,1.0
harsh,B5_Selective,0.288,0.0,0.7,0.324,0.0
harsh,B6_WeakStrong,0.26106666666666667,0.00811526162636596,0.6660555555555555,0.33089999999999997,0.408
harsh,B7_RiskGate,0.24473333333333336,0.014378943736885048,0.6087777777777778,0.3571,0.5
harsh,B8_EvidenceGate,0.13093333333333332,0.013148838504711682,0.02576702637055239,0.7181,1.9298
moderate,B1_AlwaysAct,0.8,0.0,0.0,1.0,0.0
moderate,B2_Confidence,0.288,0.0,0.64,0.36,0.0
moderate,B3_DocAgreement,0.65,0.0,0.125,0.85,0.0
moderate,B4_AlwaysVerify,0.16666666666666666,0.011901872199775843,0.6171666666666666,0.3159666666666667,1.0
moderate,B5_Selective,0.288,0.0,0.7,0.324,0.0
moderate,B6_WeakStrong,0.23373333333333335,0.006805783668663744,0.7008888888888889,0.29456666666666664,0.408
moderate,B7_RiskGate,0.16546666666666668,0.011918497166700329,0.6138333333333333,0.31443333333333334,0.5
moderate,B8_EvidenceGate,0.061000000000000006,0.011492126240049806,0.01288587957954093,0.7071666666666666,1.9399333333333333
optimistic,B1_AlwaysAct,0.8,0.0,0.0,1.0,0.0
optimistic,B2_Confidence,0.288,0.0,0.64,0.36,0.0
optimistic,B3_DocAgreement,0.65,0.0,0.125,0.85,0.0
optimistic,B4_AlwaysVerify,0.11800000000000001,0.006987673876684327,0.7318333333333332,0.2199,1.0
optimistic,B5_Selective,0.288,0.0,0.7,0.324,0.0
optimistic,B6_WeakStrong,0.21166666666666664,0.0036039569568914742,0.7213333333333334,0.27303333333333335,0.408
optimistic,B7_RiskGate,0.1208,0.006381006298328686,0.6168888888888889,0.2902666666666667,0.5
optimistic,B8_EvidenceGate,0.0186,0.005203447133292076,0.004686505906431086,0.7032,1.9479666666666666
