attack,human_accuracy,policy,ICAR_mean,ICAR_sd,false_block_mean,act_rate_mean,mean_cost
all_metadata_spoof,0.9,B4_AlwaysVerify,0.242,0.0116237305161084,0.1002,0.4418,1.0
all_metadata_spoof,0.9,B7_RiskGate,0.2413999999999999,0.013167299562848,0.0996,0.4418,1.0
all_metadata_spoof,0.9,B8_EvidenceGate,0.2406,0.008002777295692,0.0158,0.6125999999999999,1.6425999999999998
dependency_spoof,0.9,B4_AlwaysVerify,0.1668,0.0088543774484714,0.0958,0.271,1.0
dependency_spoof,0.9,B7_RiskGate,0.1674,0.0146984504096331,0.094,0.2734,1.0
dependency_spoof,0.9,B8_EvidenceGate,0.1536,0.0063104851019729,0.0202,0.5032,2.8796
external_masking,0.9,B4_AlwaysVerify,0.2517999999999999,0.0129426083580981,0.0958,0.356,1.0
external_masking,0.9,B7_RiskGate,0.2544,0.0160222068115197,0.094,0.3604,1.0
external_masking,0.9,B8_EvidenceGate,0.157,0.0061282587702834,0.0204,0.508,2.8818
none,0.9,B4_AlwaysVerify,0.1668,0.0088543774484714,0.0958,0.271,1.0
none,0.9,B7_RiskGate,0.1674,0.0146984504096331,0.094,0.2734,1.0
none,0.9,B8_EvidenceGate,0.064,0.0060369234254249,0.0202,0.4136,3.8796
timestamp_masking,0.9,B4_AlwaysVerify,0.157,0.007257180352359,0.1002,0.3567999999999999,1.0
timestamp_masking,0.9,B7_RiskGate,0.1544,0.0135252849631101,0.0996,0.3548,1.0
timestamp_masking,0.9,B8_EvidenceGate,0.0642,0.009307106006822,0.0144,0.4376,3.6426
