regime,policy,ICAR_mean,ICAR_sd,false_block_mean,act_rate_mean,mean_cost
compound_shift,B2_Confidence,0.766,0.0,0.0,1.0,0.0
compound_shift,B4_AlwaysVerify,0.1875,0.01156901487868167,0.0985,0.323,1.0
compound_shift,B7_RiskGate,0.1851,0.012182385904074357,0.09709999999999999,0.322,1.0
compound_shift,B8_EvidenceGate,0.11950000000000001,0.01187434208703792,0.0178,0.47729999999999995,3.1576999999999997
confidence_shift,B2_Confidence,0.48,0.0,0.08,0.6,0.0
confidence_shift,B4_AlwaysVerify,0.1643,0.009136969438841076,0.09709999999999999,0.2672,1.0
confidence_shift,B7_RiskGate,0.1608,0.012437633892429275,0.0958,0.265,1.0
confidence_shift,B8_EvidenceGate,0.0619,0.011322543883774528,0.0177,0.414,3.879
in_distribution,B2_Confidence,0.288,0.0,0.128,0.36,0.0
in_distribution,B4_AlwaysVerify,0.1643,0.009136969438841076,0.09709999999999999,0.2672,1.0
in_distribution,B7_RiskGate,0.1608,0.012437633892429275,0.0958,0.265,1.0
in_distribution,B8_EvidenceGate,0.0619,0.011322543883774528,0.0177,0.414,3.879
nuisance_shift,B2_Confidence,0.288,0.0,0.132,0.36,0.0
nuisance_shift,B4_AlwaysVerify,0.16399999999999998,0.009222398363709262,0.0973,0.2707,1.0
nuisance_shift,B7_RiskGate,0.16060000000000002,0.012600751857267133,0.0959,0.2687,1.0
nuisance_shift,B8_EvidenceGate,0.0613,0.010687424976652654,0.0187,0.41739999999999994,3.8762
provenance_dropout,B2_Confidence,0.288,0.0,0.128,0.36,0.0
provenance_dropout,B4_AlwaysVerify,0.1643,0.009136969438841076,0.09709999999999999,0.2672,1.0
provenance_dropout,B7_RiskGate,0.1608,0.012437633892429275,0.0958,0.265,1.0
provenance_dropout,B8_EvidenceGate,0.0895,0.011104764269163223,0.0177,0.44160000000000005,3.5789999999999997
